epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.982737,0.975145,0.007623,0.003832,0.00010000,0.007093,0.003559,0.003559,1.000000,0.013575,0.006834,0.006834,1.000000,0.000000,0.000000,1.000000,0.000000,0.009822,0.004935,0.004937,0.947059
2,0.987154,0.975230,0.005167,0.002598,0.00009990,0.007093,0.003559,0.003559,1.000000,0.013575,0.006834,0.006834,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.980071,0.975243,0.005410,0.002720,0.00009961,0.007093,0.003559,0.003559,1.000000,0.013575,0.006834,0.006834,1.000000,0.000000,0.000000,1.000000,0.000000,0.000973,0.000487,0.000685,0.001681
4,0.987758,0.975168,0.007212,0.003625,0.00009912,0.007093,0.003559,0.003559,1.000000,0.013575,0.006834,0.006834,1.000000,0.000202,0.000101,0.166667,0.000101,0.007978,0.004005,0.004211,0.075630
5,0.983857,0.975012,0.010989,0.005527,0.00009843,0.007093,0.003559,0.003559,1.000000,0.013576,0.006834,0.006834,1.000000,0.010293,0.005173,0.018233,0.007170,0.012994,0.006539,0.006592,0.450420
6,0.986293,0.974714,0.023125,0.011829,0.00009756,0.007106,0.003565,0.003565,0.999464,0.013575,0.006834,0.006834,0.999721,0.061736,0.031851,0.048591,0.084629,0.010083,0.005067,0.005093,0.500420
7,0.984931,0.973843,0.037050,0.019462,0.00009649,0.007149,0.003587,0.003588,0.990890,0.013614,0.006854,0.006854,0.999163,0.117445,0.062386,0.071669,0.325086,0.009990,0.005020,0.005052,0.445798
8,0.973177,0.971220,0.042397,0.022546,0.00009525,0.007096,0.003561,0.003561,0.971597,0.014232,0.007167,0.007170,0.937762,0.140540,0.075581,0.087031,0.364876,0.007719,0.003874,0.003912,0.286134
9,0.987317,0.972267,0.028863,0.014939,0.00009382,0.007131,0.003578,0.003579,0.982851,0.013715,0.006905,0.006905,0.996930,0.086482,0.045195,0.046224,0.669966,0.008126,0.004080,0.004102,0.425210
10,0.981509,0.974145,0.018401,0.009342,0.00009222,0.006972,0.003498,0.003499,0.900857,0.013585,0.006839,0.006839,0.999721,0.043503,0.022235,0.022301,0.882347,0.009545,0.004795,0.004800,0.832353
11,0.982558,0.971938,0.024273,0.012451,0.00009046,0.007095,0.003560,0.003561,0.923901,0.013571,0.006832,0.006832,0.998884,0.067504,0.034931,0.035463,0.699556,0.008922,0.004481,0.004492,0.641176
12,0.978881,0.968556,0.033537,0.017542,0.00008854,0.007004,0.003514,0.003515,0.956056,0.013592,0.006843,0.006843,0.999721,0.106988,0.056517,0.058799,0.592911,0.006565,0.003293,0.003325,0.257983
13,0.973594,0.969981,0.029191,0.015150,0.00008646,0.006934,0.003479,0.003480,0.937299,0.013697,0.006896,0.006896,0.998884,0.090672,0.047489,0.048385,0.719451,0.005459,0.002737,0.002762,0.234874
14,0.978862,0.969630,0.025623,0.013209,0.00008424,0.006897,0.003460,0.003462,0.888532,0.013619,0.006856,0.006856,0.998325,0.076608,0.039829,0.040333,0.761159,0.005370,0.002692,0.002708,0.307983
