epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.882190,0.866823,0.006387,0.003214,0.00010000,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.000000,0.000000,1.000000,0.000000,0.003849,0.001928,0.001928,1.000000
2,0.862084,0.864160,0.006398,0.003220,0.00009998,0.004534,0.002272,0.002272,1.000000,0.017269,0.008710,0.008710,1.000000,0.000000,0.000000,0.000000,0.000000,0.003789,0.001898,0.001899,0.836795
3,0.853439,0.856773,0.006480,0.003261,0.00009990,0.004526,0.002268,0.002268,1.000000,0.017244,0.008697,0.008697,1.000000,0.000000,0.000000,0.000000,0.000000,0.004148,0.002078,0.002080,0.746291
4,0.845689,0.848470,0.006673,0.003358,0.00009978,0.004519,0.002265,0.002265,0.999578,0.017435,0.008794,0.008794,0.999340,0.000000,0.000000,0.000000,0.000000,0.004738,0.002375,0.002377,0.694362
5,0.836911,0.838310,0.007123,0.003587,0.00009961,0.004494,0.002252,0.002252,0.985226,0.018732,0.009455,0.009458,0.962763,0.000000,0.000000,0.000000,0.000000,0.005267,0.002641,0.002645,0.624135
6,0.832205,0.861201,0.007181,0.003617,0.00009939,0.004482,0.002246,0.002247,0.929928,0.019623,0.009909,0.009938,0.769760,0.000000,0.000000,0.000000,0.000000,0.004618,0.002314,0.002325,0.337784
7,0.824783,0.833975,0.007996,0.004035,0.00009912,0.004315,0.002162,0.002163,0.831575,0.023472,0.011875,0.012043,0.460096,0.000000,0.000000,0.000000,0.000000,0.004196,0.002103,0.002122,0.187933
8,0.822783,0.818950,0.009098,0.004607,0.00009881,0.004329,0.002169,0.002170,0.835374,0.029867,0.015160,0.016604,0.148452,0.000000,0.000000,0.000000,0.000000,0.002194,0.001098,0.001114,0.071711
9,0.817424,0.813741,0.007421,0.003748,0.00009844,0.004227,0.002118,0.002119,0.786619,0.023774,0.012030,0.013929,0.081074,0.000000,0.000000,0.000000,0.000000,0.001684,0.000843,0.000857,0.047230
10,0.813367,0.815287,0.006157,0.003102,0.00009803,0.004190,0.002099,0.002101,0.762347,0.018988,0.009585,0.011591,0.052472,0.000000,0.000000,0.000000,0.000000,0.001450,0.000726,0.000741,0.032641
