epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.618978,0.615858,0.010594,0.005335,0.00030000,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
2,0.615510,0.615735,0.010599,0.005338,0.00006080,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003870,0.001939,0.001939,1.000000
3,0.614599,0.614775,0.010728,0.005403,0.00012060,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.004386,0.002198,0.002198,0.956726
4,0.613367,0.613661,0.011090,0.005585,0.00018040,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.005835,0.002926,0.002928,0.862265
5,0.611897,0.613284,0.011701,0.005892,0.00024020,0.004523,0.002267,0.002267,1.000000,0.017243,0.008697,0.008697,1.000000,0.016878,0.008511,0.008511,1.000000,0.008158,0.004096,0.004102,0.747280
6,0.610638,0.610797,0.012284,0.006187,0.00030000,0.004508,0.002259,0.002259,1.000000,0.017270,0.008710,0.008710,0.999780,0.016827,0.008485,0.008485,1.000000,0.010532,0.005294,0.005301,0.806380
7,0.608866,0.607788,0.013055,0.006577,0.00029918,0.004508,0.002259,0.002259,1.000000,0.017486,0.008820,0.008822,0.972279,0.016829,0.008486,0.008486,1.000000,0.013396,0.006743,0.006767,0.663452
8,0.608179,0.606687,0.018939,0.009595,0.00029673,0.004508,0.002259,0.002259,1.000000,0.017508,0.008832,0.008832,0.997800,0.016827,0.008485,0.008485,1.000000,0.036914,0.018804,0.019167,0.498269
9,0.606741,0.605254,0.016886,0.008534,0.00029268,0.004508,0.002259,0.002259,1.000000,0.017385,0.008769,0.008769,0.995380,0.016827,0.008485,0.008485,1.000000,0.028822,0.014622,0.015123,0.306133
10,0.606198,0.604213,0.018764,0.009504,0.00028708,0.004510,0.002260,0.002260,1.000000,0.017683,0.008920,0.008921,0.988834,0.016830,0.008486,0.008486,1.000000,0.036036,0.018348,0.018769,0.450049
11,0.604816,0.603875,0.021993,0.011189,0.00027997,0.004511,0.002261,0.002261,1.000000,0.017661,0.008909,0.008911,0.980584,0.016827,0.008485,0.008485,1.000000,0.048974,0.025102,0.025496,0.618694
12,0.603822,0.603092,0.025326,0.012938,0.00027145,0.004510,0.002260,0.002260,1.000000,0.020090,0.010147,0.010148,0.986194,0.016827,0.008485,0.008485,1.000000,0.059875,0.030862,0.031759,0.522008
13,0.603584,0.602700,0.023100,0.011751,0.00026160,0.004527,0.002268,0.002268,1.000000,0.022983,0.011625,0.011636,0.921896,0.016827,0.008485,0.008485,1.000000,0.048065,0.024625,0.024845,0.734669
14,0.602497,0.602379,0.026592,0.013567,0.00025054,0.004526,0.002268,0.002268,1.000000,0.029812,0.015132,0.015150,0.926242,0.016827,0.008485,0.008485,1.000000,0.055203,0.028385,0.028655,0.750495
15,0.602484,0.601409,0.037353,0.019281,0.00023837,0.004520,0.002265,0.002265,1.000000,0.043914,0.022450,0.022543,0.843848,0.016827,0.008485,0.008485,1.000000,0.084152,0.043924,0.045165,0.615232
16,0.601407,0.601325,0.034235,0.017578,0.00022525,0.004527,0.002268,0.002268,0.999578,0.048733,0.024975,0.025033,0.915571,0.016827,0.008485,0.008485,1.000000,0.066853,0.034583,0.035301,0.629575
17,0.601717,0.600928,0.036236,0.018656,0.00021131,0.004524,0.002267,0.002267,0.999789,0.047828,0.024500,0.024579,0.883890,0.016827,0.008485,0.008485,1.000000,0.075765,0.039374,0.040510,0.584075
18,0.600479,0.600540,0.035346,0.018156,0.00019670,0.004539,0.002275,0.002275,0.998523,0.059255,0.030532,0.030700,0.847918,0.016827,0.008485,0.008485,1.000000,0.060763,0.031334,0.031645,0.761128
19,0.599576,0.599661,0.049031,0.025543,0.00018158,0.004531,0.002271,0.002271,0.999578,0.078986,0.041117,0.041564,0.792641,0.016827,0.008485,0.008485,1.000000,0.095780,0.050299,0.051661,0.656034
20,0.599626,0.599557,0.047853,0.025035,0.00016613,0.004534,0.002272,0.002272,0.999156,0.116983,0.062125,0.063505,0.740883,0.016827,0.008485,0.008485,1.000000,0.053069,0.027258,0.028854,0.330119
21,0.599525,0.599535,0.059023,0.031053,0.00015050,0.004518,0.002264,0.002264,1.000000,0.107735,0.056934,0.057541,0.843738,0.016828,0.008486,0.008486,1.000000,0.107010,0.056529,0.062482,0.372404
22,0.598941,0.599351,0.042657,0.022085,0.00013487,0.004548,0.002279,0.002279,0.997889,0.085058,0.044418,0.044649,0.895550,0.016919,0.008532,0.008532,1.000000,0.064103,0.033113,0.033514,0.734669
23,0.598374,0.598491,0.054762,0.028682,0.00011942,0.004537,0.002274,0.002274,0.999578,0.104320,0.055030,0.055571,0.849843,0.017513,0.008834,0.008834,1.000000,0.092677,0.048590,0.049804,0.665925
24,0.598137,0.598559,0.051815,0.027083,0.00010430,0.004536,0.002273,0.002273,0.999578,0.077812,0.040481,0.040636,0.913756,0.017575,0.008865,0.008865,1.000000,0.107336,0.056712,0.058357,0.667903
25,0.597994,0.598027,0.066959,0.035550,0.00008969,0.004530,0.002270,0.002270,1.000000,0.100073,0.052672,0.053042,0.882900,0.019791,0.009994,0.009994,1.000000,0.143443,0.077263,0.081063,0.622404
26,0.597151,0.598072,0.063994,0.033834,0.00007575,0.004528,0.002269,0.002269,0.999789,0.101328,0.053368,0.053737,0.885980,0.019813,0.010005,0.010005,1.000000,0.130306,0.069694,0.073054,0.602374
27,0.597363,0.597743,0.058367,0.030655,0.00006263,0.004540,0.002275,0.002275,0.998945,0.110435,0.058445,0.058940,0.874429,0.019987,0.010094,0.010094,0.999944,0.098507,0.051805,0.053358,0.640208
28,0.597282,0.597421,0.066790,0.035365,0.00005046,0.004537,0.002274,0.002274,0.999578,0.114444,0.060695,0.061270,0.866124,0.021485,0.010859,0.010859,0.999045,0.126695,0.067632,0.070065,0.660732
29,0.597155,0.597424,0.063701,0.033633,0.00003940,0.004540,0.002275,0.002275,0.999367,0.108365,0.057287,0.057703,0.888180,0.020634,0.010425,0.010425,0.999438,0.121266,0.064547,0.066803,0.656528
30,0.597085,0.597404,0.060832,0.032009,0.00002955,0.004540,0.002275,0.002275,0.998945,0.107872,0.057011,0.057380,0.898630,0.021364,0.010797,0.010797,0.999157,0.109553,0.057951,0.059833,0.648121
31,0.596944,0.597423,0.061928,0.032628,0.00002103,0.004539,0.002275,0.002275,0.998734,0.105511,0.055693,0.056026,0.903801,0.021186,0.010706,0.010706,0.999326,0.116475,0.061839,0.064166,0.630317
