epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.619689,0.615833,0.010594,0.005335,0.00030000,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
2,0.615581,0.615691,0.010646,0.005362,0.00006080,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.004061,0.002035,0.002035,0.916667
3,0.614803,0.614829,0.010792,0.005435,0.00012060,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.004644,0.002327,0.002328,0.874629
4,0.613623,0.613901,0.010955,0.005517,0.00018040,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.005296,0.002655,0.002656,0.880069
5,0.612614,0.612934,0.011378,0.005730,0.00024020,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.006986,0.003505,0.003508,0.803660
6,0.611416,0.612006,0.011786,0.005935,0.00030000,0.004508,0.002259,0.002259,1.000000,0.017199,0.008674,0.008674,1.000000,0.016827,0.008485,0.008485,1.000000,0.008609,0.004323,0.004332,0.674085
7,0.610261,0.611217,0.012131,0.006110,0.00029918,0.004508,0.002259,0.002259,1.000000,0.017342,0.008747,0.008747,0.999395,0.016827,0.008485,0.008485,1.000000,0.009846,0.004947,0.004957,0.722057
8,0.609245,0.609130,0.014480,0.007301,0.00029673,0.004508,0.002259,0.002259,1.000000,0.017499,0.008827,0.008827,0.995435,0.016827,0.008485,0.008485,1.000000,0.019086,0.009635,0.009694,0.613996
9,0.607713,0.607623,0.014964,0.007548,0.00029268,0.004509,0.002259,0.002259,1.000000,0.017405,0.008779,0.008780,0.982069,0.016827,0.008485,0.008485,1.000000,0.021116,0.010671,0.010866,0.371909
10,0.607340,0.607199,0.018265,0.009245,0.00028708,0.004508,0.002259,0.002259,1.000000,0.017583,0.008870,0.008870,0.987624,0.016827,0.008485,0.008485,1.000000,0.034141,0.017367,0.017476,0.736647
11,0.605689,0.605926,0.017192,0.008692,0.00027997,0.004512,0.002261,0.002261,1.000000,0.016959,0.008552,0.008564,0.864089,0.016827,0.008485,0.008485,1.000000,0.030470,0.015470,0.015528,0.807122
12,0.604600,0.604599,0.022177,0.011284,0.00027145,0.004508,0.002259,0.002259,1.000000,0.018098,0.009132,0.009132,0.997030,0.016827,0.008485,0.008485,1.000000,0.049276,0.025261,0.027927,0.209199
13,0.604216,0.604688,0.021189,0.010760,0.00026160,0.004526,0.002268,0.002268,0.999789,0.019800,0.009999,0.010004,0.948958,0.016827,0.008485,0.008485,1.000000,0.043604,0.022288,0.022463,0.741098
14,0.603259,0.603132,0.026845,0.013735,0.00025054,0.004515,0.002263,0.002263,1.000000,0.022352,0.011302,0.011304,0.986359,0.016827,0.008485,0.008485,1.000000,0.063686,0.032890,0.033726,0.570227
15,0.602827,0.602113,0.029374,0.015065,0.00023837,0.004522,0.002266,0.002266,1.000000,0.026458,0.013406,0.013415,0.954788,0.016827,0.008485,0.008485,1.000000,0.069692,0.036104,0.036872,0.634026
16,0.602114,0.602084,0.029954,0.015313,0.00022525,0.004521,0.002265,0.002265,1.000000,0.042613,0.021770,0.021794,0.952478,0.016827,0.008485,0.008485,1.000000,0.055855,0.028730,0.029038,0.730218
