threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.4,0,0.6496846322609111,0.626730036056472,0.6743846240488712,12000,7147,5794,2072211
0.4,2,0.6492050163967278,0.6266143791044908,0.6734854445502144,11984,7141,5810,2072217
0.38,0,0.6491545079519633,0.6240601503954337,0.6763515792021833,12035,7250,5759,2072108
0.38,2,0.648731786301977,0.6239489255878776,0.6755647971408585,12021,7245,5773,2072113
0.36,0,0.6484700319789252,0.6211848268247885,0.6782623356368291,12069,7360,5725,2071998
0.36,2,0.6480675160015034,0.6210591386966279,0.6775317522941704,12056,7356,5738,2072002
0.4,5,0.648042869198704,0.6279719542607427,0.6694391368062583,11912,7057,5882,2072301
0.34,0,0.6477154099508093,0.6184002044662202,0.6799482971968108,12099,7466,5695,2071892
0.38,5,0.6476087251145479,0.6252943331261946,0.6715746881155684,11950,7161,5844,2072197
0.34,2,0.647350239679529,0.618292495799361,0.6792739125728181,12087,7462,5707,2071896
0.32,0,0.6469757150948477,0.6153963182912219,0.6819714510687889,12135,7584,5659,2071774
0.36,5,0.6467667062602082,0.6221829889073537,0.6733730471128823,11982,7276,5812,2072082
0.32,2,0.6466650665480794,0.6153377658419866,0.6813532651634622,12124,7579,5670,2071779
0.3,0,0.6462599469589851,0.611976288575707,0.6846127908460935,12182,7724,5612,2071634
0.28,0,0.6460433933472511,0.6090981485362782,0.6877599190913927,12238,7854,5556,2071504
0.3,2,0.64602239559396,0.6119545546143196,0.684107002378099,12173,7719,5621,2071639
0.28,2,0.6458410351294999,0.6091352859329978,0.6872541306233981,12229,7847,5565,2071511
0.34,5,0.6457599311571566,0.6192293805323552,0.6746656176422016,12005,7382,5789,2071976
0.4,8,0.6452142955047182,0.6292398910512665,0.662020905942339,11780,6941,6014,2072417
0.32,5,0.6451975887569941,0.6165070913104036,0.6766887715141796,12041,7490,5753,2071868
0.26,0,0.644928870082176,0.6060291574200134,0.689164887058044,12263,7972,5531,2071386
0.38,8,0.6446578631549531,0.6264715240414428,0.6639316623769849,11814,7044,5980,2072314
0.26,2,0.6446554944714779,0.6060246327543145,0.6885467011527174,12252,7965,5542,2071393
0.24,0,0.6446462690175977,0.6032920198107435,0.692087220428679,12315,8098,5479,2071260
0.3,5,0.6445042787543787,0.6130750114310962,0.6793301112914842,12088,7629,5706,2071729
0.24,2,0.6444415346433301,0.6034034623312539,0.6914690345233523,12304,8087,5490,2071271
0.36,8,0.6443755776750836,0.6240522325387504,0.666067213686295,11852,7140,5942,2072218
0.28,5,0.644278211055115,0.6101286173829317,0.6824772395367833,12144,7760,5650,2071598
0.22,0,0.6438912613362178,0.5999029597477,0.6948409576433157,12364,8246,5430,2071112
0.22,2,0.6436015006345456,0.5999028654881058,0.694166573019323,12352,8238,5442,2071120
0.34,8,0.6433854406642089,0.6211225610911166,0.6673035854969482,11874,7243,5920,2072115
0.4,10,0.6431385514052639,0.6308166243511422,0.6559514443264048,11672,6831,6122,2072527
0.26,5,0.6429420623063342,0.6066709877047081,0.6838260087847687,12168,7889,5626,2071469
0.2,0,0.6428793371402672,0.5960818208203168,0.6976508935766185,12414,8412,5380,2070946
0.24,5,0.6428252123473448,0.6040523845019,0.6869169383114018,12223,8012,5571,2071346
0.38,10,0.6427552140602976,0.6280703636368085,0.6581431943543811,11711,6935,6083,2072423
0.32,8,0.6426470191443973,0.6182044758493066,0.669101944494262,11906,7353,5888,2072005
0.2,2,0.6426239701631529,0.5961353586043003,0.6969765089526258,12402,8402,5392,2070956
0.36,10,0.6422595286366747,0.625399361042311,0.660053950789027,11745,7035,6049,2072323
0.3,8,0.6420939597411518,0.6146689967303316,0.672080476583563,11959,7497,5835,2071861
