threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.52,15,0.5646606914339233,0.5995180127541545,0.5336340135562602,9702,6481,8479,2072490
0.4,15,0.5644745686879769,0.5750727615376892,0.5542599417218932,10077,7446,8104,2071525
0.55,15,0.5643511988844514,0.6058292852434655,0.5281887685205331,9603,6248,8578,2072723
0.4,8,0.5643399678559533,0.568881685599459,0.5598701941829454,10179,7714,8002,2071257
0.49,15,0.5642680186793724,0.5923909756491629,0.5386942412662288,9794,6739,8387,2072232
0.49,5,0.5640704590204015,0.5843750000245062,0.5451295308539064,9911,7049,8270,2071922
0.49,8,0.56385102379616,0.5854900799771697,0.5437544689761974,9886,6999,8295,2071972
0.46,5,0.5638249887357966,0.5783355503106624,0.5500247511385499,10000,7291,8181,2071680
0.43,8,0.5638238260796866,0.5746102450131568,0.5534349045952679,10062,7449,8119,2071522
0.37,12,0.5636514065205832,0.5652414403691995,0.5620702931872795,10219,7860,7962,2071111
0.4,5,0.5636333480881348,0.5665462628748793,0.560750233784679,10195,7800,7986,2071171
0.52,18,0.5636160714413881,0.604714186701663,0.5277487487196663,9595,6272,8586,2072699
0.4,10,0.5635610881223829,0.5694631626477166,0.557780100128828,10141,7667,8040,2071304
0.46,8,0.5635490251606796,0.5794642338555719,0.5484846818355159,9972,7237,8209,2071734
0.43,18,0.563517636671604,0.5850900047616597,0.5434794566006557,9881,7007,8300,2071964
0.46,15,0.5634655472868024,0.5859365720640256,0.5426544194740304,9866,6972,8315,2071999
0.52,5,0.5634450641187994,0.5901836796392542,0.539024256116879,9800,6805,8381,2072166
0.4,18,0.5634327305677933,0.5783620989471585,0.549254716487033,9986,7280,8195,2071691
0.49,10,0.563377864245691,0.5869694802344438,0.5416093724469716,9847,6929,8334,2072042
0.37,10,0.5633593664183434,0.5633283836790778,0.5633903525898801,10243,7940,7938,2071031
0.43,10,0.5633296848372673,0.5751289398524282,0.5520048402424507,10036,7414,8145,2071557
0.37,5,0.5633224809290218,0.560424605358714,0.5662504812955146,10295,8075,7886,2070896
0.37,8,0.5632805423774249,0.5621849660551071,0.5643803971418304,10261,7991,7920,2070980
0.43,5,0.5632803553095366,0.572247446108272,0.5545899565725433,10083,7537,8098,2071434
0.55,12,0.5632123443929157,0.6008605100953507,0.5300038501991088,9636,6401,8545,2072570
0.43,15,0.5631826155972163,0.5799195851302419,0.5473846323333489,9952,7209,8229,2071762
0.49,18,0.563171652641209,0.5966521016926178,0.5332489962305017,9695,6554,8486,2072417
0.46,10,0.5631695290040478,0.5808827828365459,0.5465045927316152,9936,7169,8245,2071802
0.46,18,0.5631694115063005,0.5909008519369887,0.5379242066147119,9780,6771,8401,2072200
0.37,15,0.5631638794252666,0.5679682255779834,0.5584401298301281,10153,7723,8028,2071248
0.4,12,0.5631636150945248,0.5707829624013794,0.5557450085498188,10104,7598,8077,2071373
0.52,12,0.5630161996243366,0.5950018375845276,0.5342940432575605,9714,6612,8467,2072359
0.37,20,0.5629945563846738,0.5746691871699221,0.5517848303420172,10032,7425,8149,2071546
0.55,5,0.5629767118249768,0.5954601227242049,0.5338540234566936,9706,6594,8475,2072377
0.49,20,0.5629737609456859,0.5989825671816501,0.5310488972261675,9655,6464,8526,2072507
0.37,18,0.5629695835666573,0.5718987629342924,0.5543149441970016,10078,7544,8103,2071427
0.52,22,0.5628505638671887,0.6074682979922598,0.5243385952629482,9533,6160,8648,2072811
0.4,20,0.562840290393522,0.580928408383719,0.5458445630303149,9924,7159,8257,2071812
0.34,22,0.562676272665866,0.571469086808198,0.5541499367716765,10075,7555,8106,2071416
0.4,25,0.5626482948011021,0.5857738095484658,0.5412793575963215,9841,6959,8340,2072012
0.49,12,0.5626183236887552,0.5879143936461895,0.5394092734426374,9807,6874,8374,2072097
0.49,22,0.5626060003636878,0.6006118499344064,0.5291238105973751,9620,6397,8561,2072574
0.31,25,0.5625486057226267,0.5681983953561017,0.5570100654773109,10127,7696,8054,2071275
