threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.225,0,0.12131649447484237,0.06968345688136907,0.46834107229456706,2219,29625,2519,2062789
0.225,1,0.12131649447484237,0.06968345688136907,0.46834107229456706,2219,29625,2519,2062789
0.25,0,0.12124107865376889,0.07061115172456046,0.42845082325275413,2030,26719,2708,2065695
0.25,1,0.12124107865376889,0.07061115172456046,0.42845082325275413,2030,26719,2708,2065695
0.3,0,0.12115837230544876,0.0722568046270289,0.3748417054928574,1776,22803,2962,2069611
0.3,1,0.12115837230544876,0.0722568046270289,0.3748417054928574,1776,22803,2962,2069611
0.25,2,0.12111253849009312,0.0705411519376878,0.4278176446965349,2027,26708,2711,2065706
0.225,2,0.12110272401484787,0.06956576387011984,0.4672857747008683,2214,29612,2524,2062802
0.3,2,0.12092261501566388,0.07212047215823686,0.37399746741789835,1772,22798,2966,2069616
0.25,3,0.12070666310582887,0.07031168382133687,0.42612916854661687,2019,26696,2719,2065718
0.225,3,0.12059145676011525,0.06928450069003572,0.4647530604759913,2202,29580,2536,2062834
0.3,3,0.12038808420605397,0.07181870061662107,0.3718868722305009,1762,22772,2976,2069642
0.275,0,0.1203614689764673,0.07095360438752632,0.396369776404312,1878,24590,2860,2067824
0.275,1,0.1203614689764673,0.07095360438752632,0.396369776404312,1878,24590,2860,2067824
0.25,4,0.12012443170853898,0.06997978674740435,0.4238075138404796,2008,26686,2730,2065728
0.275,2,0.12009104609623662,0.07079947083459462,0.3953144788106132,1873,24582,2865,2067832
0.225,4,0.12007237241295926,0.06899810967016388,0.46222034625111424,2190,29550,2548,2062864
0.3,4,0.1196785775647229,0.0714081691324353,0.3693541580056239,1750,22757,2988,2069657
0.275,3,0.11963672542217398,0.07054460132950291,0.39341494314195546,1864,24559,2874,2067855
0.225,5,0.11950134551267227,0.0686868687162662,0.45926551298875773,2176,29504,2562,2062910
0.275,4,0.11926782276431382,0.07033558067304237,0.39193752651077723,1857,24545,2881,2067869
0.25,5,0.11903906065423439,0.06936396009671983,0.41937526394694485,1987,26659,2751,2065755
0.325,0,0.11895910783880169,0.07189427316863903,0.34444913479433326,1632,21068,3106,2071346
0.325,1,0.11895910783880169,0.07189427316863903,0.34444913479433326,1632,21068,3106,2071346
0.325,2,0.11864221390897137,0.07170875758862406,0.3433938372006345,1627,21062,3111,2071352
0.225,6,0.11843335719460825,0.06808981660126218,0.45441114405774347,2153,29467,2585,2062947
0.2,0,0.11829243967887762,0.06707006732265254,0.500633178661749,2372,32994,2366,2059420
0.2,1,0.11829243967887762,0.06707006732265254,0.500633178661749,2372,32994,2366,2059420
0.2,2,0.11826347307589163,0.06705902328484355,0.5002110596242695,2370,32972,2368,2059442
0.25,6,0.11817990944184949,0.06887871056715225,0.4157872521283691,1970,26631,2768,2065783
0.2,3,0.11812006794730497,0.0669857814800038,0.4991557620305707,2365,32941,2373,2059473
0.275,5,0.11807073957819708,0.06964570218232131,0.38750527661724243,1836,24526,2902,2067888
0.2,4,0.11778828121344967,0.06681040599543787,0.4970451668431732,2355,32894,2383,2059520
0.275,6,0.11748792273373629,0.06932198240083148,0.38497256239236544,1824,24488,2914,2067926
0.325,3,0.11744954198629695,0.07100304491986219,0.33959476586331894,1609,21052,3129,2071362
0.3,5,0.11719954768112129,0.06995867941455801,0.3609117772560338,1710,22733,3028,2069681
0.225,7,0.11703124141503579,0.0673003802576901,0.4482904180142907,2124,29436,2614,2062978
0.2,5,0.11698689849152066,0.06637105258331567,0.49282397646837817,2335,32846,2403,2059568
0.2,6,0.11655456281707273,0.0661425397633982,0.4900802027247614,2322,32784,2416,2059630
