threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.45,35,0.40868564863263074,0.4883161513785856,0.35138476771726396,1421,1489,2623,2091619
0.45,41,0.40868564863263074,0.4883161513785856,0.35138476771726396,1421,1489,2623,2091619
0.45,48,0.40868564863263074,0.4883161513785856,0.35138476771726396,1421,1489,2623,2091619
0.425,35,0.40842648331779496,0.48568507174993697,0.3523738874005011,1425,1509,2619,2091599
0.425,41,0.40842648331779496,0.48568507174993697,0.3523738874005011,1425,1509,2619,2091599
0.425,48,0.40842648331779496,0.48568507174993697,0.3523738874005011,1425,1509,2619,2091599
0.35,41,0.4082614231987181,0.47702479356131416,0.35682492597506804,1443,1582,2601,2091526
0.35,48,0.4082614231987181,0.47702479356131416,0.35682492597506804,1443,1582,2601,2091526
0.35,54,0.4082614231987181,0.47702479356131416,0.35682492597506804,1443,1582,2601,2091526
0.5,29,0.4078374456592398,0.4936753339797347,0.3474282889843155,1405,1441,2639,2091667
0.5,35,0.4078374456592398,0.4936753339797347,0.3474282889843155,1405,1441,2639,2091667
0.5,41,0.4078374456592398,0.4936753339797347,0.3474282889843155,1405,1441,2639,2091667
0.5,48,0.4078374456592398,0.4936753339797347,0.3474282889843155,1405,1441,2639,2091667
0.4,35,0.4077669903758185,0.4824324326072864,0.3531157271629289,1428,1532,2616,2091576
0.4,41,0.4077669903758185,0.4824324326072864,0.3531157271629289,1428,1532,2616,2091576
0.4,48,0.4077669903758185,0.4824324326072864,0.3531157271629289,1428,1532,2616,2091576
0.55,29,0.40771591415932834,0.498392283137409,0.3449554897762227,1395,1404,2649,2091704
0.55,35,0.40771591415932834,0.498392283137409,0.3449554897762227,1395,1404,2649,2091704
0.55,41,0.40771591415932834,0.498392283137409,0.3449554897762227,1395,1404,2649,2091704
0.55,48,0.40771591415932834,0.498392283137409,0.3449554897762227,1395,1404,2649,2091704
0.475,35,0.4075144509526713,0.49026425608822527,0.34866468858836186,1410,1466,2634,2091642
0.475,41,0.4075144509526713,0.49026425608822527,0.34866468858836186,1410,1466,2634,2091642
0.475,48,0.4075144509526713,0.49026425608822527,0.34866468858836186,1410,1466,2634,2091642
0.375,35,0.4071702945785787,0.47939698509902956,0.35385756692535675,1431,1554,2613,2091554
