epoch,train_loss,train_acc,train_qwk,train_f1,val_loss,val_acc,val_qwk,val_f1,lr
1,0.956012,0.6499,0.5846,0.3710,0.598558,0.7705,0.7999,0.5073,0.00010000
2,0.754669,0.7227,0.7260,0.4627,0.552450,0.8005,0.8397,0.5637,0.00010000
3,0.682945,0.7418,0.7733,0.4966,0.507803,0.8115,0.8592,0.6097,0.00010000
4,0.659456,0.7609,0.7921,0.5443,0.484512,0.8115,0.8695,0.6179,0.00010000
5,0.635144,0.7725,0.8144,0.5707,0.487033,0.8224,0.8767,0.5946,0.00010000
6,0.616925,0.7848,0.8149,0.5960,0.483101,0.8224,0.8824,0.6298,0.00010000
7,0.586533,0.7971,0.8250,0.6179,0.489866,0.8224,0.8925,0.6473,0.00010000
8,0.569023,0.7954,0.8359,0.6331,0.469824,0.8306,0.8927,0.7125,0.00010000
9,0.507709,0.8163,0.8495,0.6648,0.485340,0.8279,0.8875,0.6788,0.00010000
10,0.494800,0.8282,0.8640,0.6781,0.468386,0.8497,0.9111,0.7095,0.00010000
11,0.491839,0.8238,0.8783,0.6811,0.486428,0.8470,0.9067,0.6962,0.00010000
12,0.483250,0.8245,0.8628,0.6799,0.479962,0.8361,0.9062,0.7031,0.00010000
13,0.479170,0.8333,0.8582,0.6960,0.506590,0.8361,0.8919,0.6924,0.00010000
14,0.471395,0.8374,0.8757,0.7035,0.490730,0.8525,0.9148,0.7268,0.00010000
15,0.452080,0.8388,0.8757,0.7142,0.482737,0.8552,0.9178,0.7424,0.00010000
16,0.456663,0.8470,0.8789,0.7355,0.507242,0.8525,0.9087,0.7229,0.00010000
17,0.417360,0.8480,0.8819,0.7278,0.522722,0.8279,0.8999,0.6841,0.00010000
18,0.401431,0.8552,0.8903,0.7448,0.527537,0.8470,0.9115,0.7265,0.00010000
19,0.409020,0.8661,0.8824,0.7729,0.564694,0.8388,0.8830,0.7078,0.00010000
20,0.415946,0.8702,0.8916,0.7750,0.523317,0.8579,0.9146,0.7381,0.00010000
