epoch,train_loss,train_acc,train_qwk,train_f1,val_loss,val_acc,val_qwk,val_f1,lr
1,1.006649,0.6424,0.5620,0.3187,0.622126,0.7650,0.8005,0.4229,0.00010000
2,0.748420,0.7261,0.7324,0.4284,0.583487,0.7705,0.8479,0.6037,0.00010000
3,0.697592,0.7418,0.7654,0.5021,0.504623,0.8169,0.8703,0.5563,0.00010000
4,0.666816,0.7541,0.7853,0.5123,0.503666,0.8033,0.8602,0.6224,0.00010000
5,0.644925,0.7654,0.8018,0.5577,0.518475,0.7923,0.8551,0.5699,0.00010000
6,0.599774,0.7807,0.8267,0.5777,0.486277,0.8033,0.8735,0.6009,0.00010000
7,0.573194,0.7889,0.8356,0.5980,0.492217,0.8169,0.8765,0.6025,0.00010000
8,0.593911,0.7876,0.8226,0.6066,0.502496,0.8169,0.8924,0.6289,0.00010000
9,0.532985,0.8053,0.8517,0.6359,0.462050,0.8224,0.8788,0.6434,0.00010000
10,0.549632,0.8060,0.8425,0.6403,0.453147,0.8415,0.9000,0.6835,0.00010000
11,0.509984,0.8159,0.8589,0.6565,0.454049,0.8333,0.9013,0.6713,0.00010000
12,0.489387,0.8255,0.8758,0.6802,0.451289,0.8415,0.9059,0.7030,0.00010000
13,0.475398,0.8357,0.8818,0.6868,0.449893,0.8251,0.9021,0.6963,0.00010000
14,0.463585,0.8371,0.8905,0.7035,0.482432,0.8333,0.8974,0.6966,0.00010000
15,0.459450,0.8381,0.8831,0.7025,0.482216,0.8251,0.9096,0.6979,0.00010000
16,0.426424,0.8463,0.8879,0.7210,0.472855,0.8361,0.9137,0.7035,0.00010000
17,0.423285,0.8531,0.8884,0.7369,0.498795,0.8497,0.9135,0.7329,0.00010000
18,0.442618,0.8555,0.8908,0.7355,0.492603,0.8306,0.8951,0.7038,0.00010000
19,0.413908,0.8583,0.8898,0.7387,0.508006,0.8497,0.9158,0.7093,0.00010000
20,0.399399,0.8695,0.9082,0.7608,0.493584,0.8497,0.9168,0.7331,0.00010000
21,0.400635,0.8685,0.9071,0.7665,0.558381,0.8333,0.9190,0.6927,0.00010000
22,0.388915,0.8712,0.8958,0.7717,0.545521,0.8525,0.9296,0.7334,0.00010000
23,0.371883,0.8757,0.9003,0.7860,0.609473,0.8497,0.9167,0.7376,0.00010000
24,0.382519,0.8753,0.9068,0.7741,0.596730,0.8415,0.9052,0.7225,0.00010000
25,0.327224,0.8859,0.9238,0.7945,0.634131,0.8470,0.9124,0.7106,0.00010000
26,0.355371,0.8904,0.9186,0.8014,0.590125,0.8333,0.9128,0.7122,0.00010000
27,0.342808,0.8866,0.9129,0.8007,0.677776,0.8333,0.9058,0.7115,0.00010000
28,0.330389,0.8887,0.9280,0.7965,0.591646,0.8415,0.9141,0.7121,0.00010000
29,0.324459,0.8897,0.9191,0.8028,0.601861,0.8497,0.9184,0.7346,0.00005000
30,0.342071,0.8897,0.9158,0.8116,0.604762,0.8579,0.9222,0.7428,0.00005000
31,0.279540,0.9054,0.9328,0.8310,0.605869,0.8415,0.9232,0.7171,0.00005000
32,0.274849,0.9095,0.9409,0.8436,0.629302,0.8443,0.9162,0.7127,0.00005000
