epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.618973,0.615615,0.010594,0.005335,0.00030000,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
2,0.615074,0.615468,0.010594,0.005335,0.00006080,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
3,0.614299,0.614633,0.010594,0.005335,0.00012060,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
4,0.613183,0.613713,0.010594,0.005335,0.00018040,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
5,0.611929,0.612567,0.010594,0.005335,0.00024020,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
6,0.610781,0.611081,0.010594,0.005335,0.00030000,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
7,0.609513,0.609968,0.010597,0.005337,0.00029918,0.004508,0.002259,0.002259,1.000000,0.017203,0.008676,0.008676,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
8,0.608759,0.607723,0.010605,0.005341,0.00029673,0.004508,0.002259,0.002259,1.000000,0.017234,0.008692,0.008692,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
9,0.607186,0.605848,0.010609,0.005343,0.00029268,0.004508,0.002259,0.002259,1.000000,0.017250,0.008700,0.008700,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
10,0.607250,0.604676,0.010607,0.005342,0.00028708,0.004508,0.002259,0.002259,1.000000,0.017243,0.008696,0.008696,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
