threshold,min_area,dice,iou,precision,recall,specificity,tp,fp,fn,tn
0.2,200,0.2457121402212375,0.1400637522846989,0.2202947959602313,0.2777597168169744,0.9986206770724053,15379,54432,39989,39408408
0.25,200,0.24280958181694837,0.13818057468980138,0.22057478387742213,0.27002962001029424,0.9986612468844108,14951,52831,40417,39410009
0.3,200,0.23968401258661584,0.13615965219170803,0.21975936997666345,0.2635818523467783,0.998686992623947,14594,51815,40774,39411025
0.45,200,0.2376441933693241,0.1348446167808622,0.223455690577908,0.2537566825738015,0.9987627347651614,14050,48826,41318,39414014
0.4,200,0.23731683600545456,0.13463385868785838,0.22143482887144994,0.2556530848277768,0.998738838867147,14155,49769,41213,39413071
0.35,200,0.23713910543658778,0.13451946558863917,0.2196342252036757,0.2576759138986838,0.9987154751153238,14267,50691,41101,39412149
0.5,150,0.23669134463167804,0.13423137459105214,0.20734241515738328,0.2757188267722201,0.998521115054061,15266,58361,40102,39404479
0.55,150,0.23639801244385453,0.13404272285846136,0.20830809055449268,0.2732444733551285,0.9985429583881951,15129,57499,40239,39405341
0.2,150,0.2363117748458618,0.13398727251320186,0.1955629178347564,0.2985117757676183,0.9982771893761321,16528,67987,38840,39394853
0.45,150,0.23618641533749868,0.13390667664538597,0.2052406402963489,0.2781209362939221,0.9984889582199356,15399,59630,39969,39403210
0.4,150,0.2357884180033446,0.13365087295429282,0.2035016393547082,0.28025213120791337,0.99846100787475,15517,60733,39851,39402107
0.6,200,0.23499399237958632,0.1331406189965061,0.226860101549493,0.2437328420885036,0.9988345745009736,13495,45991,41873,39416849
0.55,200,0.23485364781239615,0.13305052441051884,0.2248022328413271,0.2458459760286475,0.998810551901485,13612,46939,41756,39415901
0.25,150,0.23479045927691125,0.13300996503057969,0.19668211759945498,0.2912151423332753,0.9983311895443917,16124,65856,39244,39396984
0.5,200,0.2347030324845582,0.1329538524174198,0.2227195329729552,0.2480494148380283,0.9987854143290245,13734,47931,41634,39414909
0.35,150,0.23460538053299596,0.13289118362121563,0.20052794116787084,0.28263617975576805,0.9984190190062348,15649,62390,39719,39400450
0.6,150,0.2345591255233741,0.13286150157804585,0.20842456909763035,0.26818740067786107,0.9985709340736755,14849,56395,40519,39406445
0.65,150,0.23434810328949357,0.13272610741279575,0.20970732543345355,0.2655504984961431,0.9985959196043671,14703,55409,40665,39407431
0.7,150,0.23414100284682066,0.1325932609745569,0.21114965385257917,0.2627510475497986,0.9986227296362857,14548,54351,40820,39408489
0.3,150,0.23400552466297364,0.13250637413502664,0.1983229353752894,0.2853453258328756,0.9983816674116713,15799,63864,39569,39398976
0.65,200,0.23113257243870824,0.13066698433415067,0.22488553271330408,0.23773659877117223,0.9988503361643511,13163,45369,42205,39417471
