epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA
1,0.990967,0.996981,0.000931,0.000466,0.00010000,0.000931,0.000466,0.000466,0.980463
2,0.984445,0.997186,0.000935,0.000468,0.00002008,0.000935,0.000468,0.000468,0.996574
3,0.981859,0.997344,0.000915,0.000458,0.00004006,0.000915,0.000458,0.000458,1.000000
4,0.975727,0.989179,0.002541,0.001272,0.00006004,0.002541,0.001272,0.001276,0.318704
5,0.964634,0.997131,0.000934,0.000467,0.00008002,0.000934,0.000467,0.000467,0.987222
6,0.951738,0.995218,0.000807,0.000404,0.00010000,0.000807,0.000404,0.000404,0.816389
7,0.931957,0.997038,0.000912,0.000456,0.00009998,0.000912,0.000456,0.000456,0.995833
8,0.902919,0.934762,0.049128,0.025182,0.00009993,0.049128,0.025182,0.031476,0.111852
9,0.880365,0.985009,0.000739,0.000370,0.00009985,0.000739,0.000370,0.000370,0.329074
10,0.850132,0.949581,0.007445,0.003737,0.00009973,0.007445,0.003737,0.003796,0.193426
11,0.791121,0.927026,0.001171,0.000586,0.00009957,0.001171,0.000586,0.000587,0.201111
12,0.764480,0.927372,0.002173,0.001088,0.00009939,0.002173,0.001088,0.001151,0.019537
13,0.739399,0.901988,0.038849,0.019809,0.00009916,0.038849,0.019809,0.026558,0.072315
14,0.758566,0.996660,0.000955,0.000478,0.00009891,0.000955,0.000478,0.000478,0.951296
15,0.749891,0.891521,0.017254,0.008702,0.00009862,0.017254,0.008702,0.014417,0.021481
16,0.694120,0.925153,0.031399,0.015950,0.00009830,0.031399,0.015950,0.019338,0.083426
17,0.596890,0.897298,0.035739,0.018195,0.00009794,0.035739,0.018195,0.022747,0.083333
18,0.580086,0.878574,0.046316,0.023707,0.00009756,0.046316,0.023707,0.041493,0.052407
19,0.582367,0.885209,0.039707,0.020256,0.00009713,0.039707,0.020256,0.029927,0.058981
20,0.581224,0.919086,0.028936,0.014680,0.00009668,0.028936,0.014680,0.018886,0.061852
21,0.565138,0.908381,0.033027,0.016791,0.00009620,0.033027,0.016791,0.022468,0.062315
22,0.582944,0.902604,0.034005,0.017297,0.00009568,0.034005,0.017297,0.021948,0.075463
23,0.571537,0.850886,0.061798,0.031884,0.00009513,0.061798,0.031884,0.050162,0.080463
24,0.561679,0.884121,0.045942,0.023511,0.00009456,0.045942,0.023511,0.031292,0.086389
25,0.559400,0.898963,0.038119,0.019430,0.00009395,0.038119,0.019430,0.025543,0.075093
26,0.552003,0.874709,0.059993,0.030924,0.00009331,0.059993,0.030924,0.042953,0.099444
27,0.562973,0.850936,0.067170,0.034752,0.00009264,0.067170,0.034752,0.045584,0.127593
28,0.600032,0.879718,0.049395,0.025323,0.00009194,0.049395,0.025323,0.039902,0.064815
29,0.556740,0.896049,0.044622,0.022820,0.00009122,0.044622,0.022820,0.031182,0.078426
30,0.558996,0.920830,0.033550,0.017061,0.00009046,0.033550,0.017061,0.020459,0.093148
31,0.535680,0.875359,0.045961,0.023521,0.00008968,0.045961,0.023521,0.034625,0.068333
32,0.543525,0.910243,0.021485,0.010859,0.00008887,0.021485,0.010859,0.015291,0.036111
33,0.533614,0.910291,0.022217,0.011233,0.00008803,0.022217,0.011233,0.015247,0.040926
34,0.525781,0.883872,0.039084,0.019932,0.00008717,0.039084,0.019932,0.028100,0.064167
35,0.507252,0.898758,0.040284,0.020556,0.00008628,0.040284,0.020556,0.025509,0.095741
36,0.462232,0.863340,0.069427,0.035962,0.00008537,0.069427,0.035962,0.053067,0.100370
37,0.396765,0.830005,0.078443,0.040823,0.00008443,0.078443,0.040823,0.060429,0.111759
38,0.395741,0.844656,0.067820,0.035100,0.00008347,0.067820,0.035100,0.053382,0.092963
39,0.389787,0.833480,0.050678,0.025998,0.00008249,0.050678,0.025998,0.043571,0.060556
40,0.401503,0.836605,0.045787,0.023430,0.00008148,0.045787,0.023430,0.040993,0.051852
41,0.387234,0.844059,0.057428,0.029563,0.00008046,0.057428,0.029563,0.042500,0.088519
42,0.389651,0.850671,0.064608,0.033382,0.00007941,0.064608,0.033382,0.048518,0.096667
