epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA
1,1.037764,0.943357,0.003175,0.001590,0.00020000,0.003175,0.001590,0.001590,1.000000
2,0.932201,0.927336,0.003179,0.001592,0.00004080,0.003179,0.001592,0.001592,1.000000
3,0.909098,0.904615,0.003175,0.001590,0.00008060,0.003175,0.001590,0.001590,1.000000
4,0.891314,0.876669,0.003175,0.001590,0.00012040,0.003175,0.001590,0.001590,1.000000
5,0.855788,0.872368,0.003175,0.001590,0.00016020,0.003175,0.001590,0.001590,1.000000
6,0.838403,0.853754,0.003175,0.001590,0.00020000,0.003175,0.001590,0.001590,1.000000
7,0.816751,0.874017,0.003175,0.001590,0.00019922,0.003175,0.001590,0.001590,1.000000
8,0.796826,0.850403,0.003175,0.001590,0.00019687,0.003175,0.001590,0.001590,1.000000
9,0.771637,0.865412,0.003175,0.001590,0.00019301,0.003175,0.001590,0.001590,1.000000
10,0.772419,0.849638,0.003175,0.001590,0.00018769,0.003175,0.001590,0.001590,1.000000
11,0.763984,0.854872,0.003180,0.001593,0.00018100,0.003180,0.001593,0.001593,1.000000
12,0.765976,0.854407,0.003217,0.001611,0.00017303,0.003217,0.001611,0.001611,0.999467
